field, value, 
id, 142200, 
name, Sima (Finnish Spring Mead), 
cuisine, European >> Scandinavian >> Finnish, 
time, , 
source, , 
instructions, 1. Bring the water to a steady boil.
2. Meanwhile use a zester or vegetable peeler to remove the yellow outer rind from the lemons and place in a large non-metal heatproof container.
3. Peel or trim off the white rind and discard.
4. Slice the lemons and place in the container with the zest. Add the brown sugar and white sugar.
5. When the water boils add it to the container with the lemons and sugar.
6. Let it cool to lukewarm then stir in the yeast.
7. Cover and allow to sit out at room temperature for 24-48 hours or until surface begins to bubble slightly.
8. Strain the liquid into clean containers about 1 quart in size. Add 5-6 raisins and 1 tsp sugar to each container. Seal tightly and refrigerate 2-5 days or until raisins float to the surface.
9. Keep refrigerated and serve cool., 
field, value, 
id, 142208, 
name, Finnish Tiikerikkakku Tiger Cake, 
cuisine, European >> Scandinavian >> Finnish, 
time, , 
source, , 
instructions, 1. Preheat oven to 350°F
2. Grease and flour a bundt pan.
3. Beat butter and sugar together until creamy.
4. Sift together flour and baking powder.
5. Alternatively add eggs and flour to the batter until all are combined.
6. Stir in vanilla.
7. Place 1/3 of cake batter into separate mixing bowl; stir in cocoa and juice of 1/2 orange.
8. In original bowl stir in all of orange zest and juice of remaining 1/2 orange.
9. Spread 1/3 of orange batter evenly in bottom of bundt pan.
10. Gently dribble half of chocolate batter on top with a spoon or frosting bag.
11. Repeat layers ending with orange batter on top.
12. Bake on center rack of oven for 1 hour or until cake tests done., 
field, value, 
id, 142205, 
name, Jauhelihapihvit Keitto (Finnish Hamburger Soup Also Moijakka), 
cuisine, European >> Scandinavian >> Finnish, 
time, , 
source, , 
instructions, , 
field, value, 
id, 142209, 
name, Finnish - Chanterelle Soup, 
cuisine, European >> Scandinavian >> Finnish, 
time, , 
source, , 
instructions, , 
field, value, 
id, 142207, 
name, Finnish Beef Liver Bake, 
cuisine, European >> Scandinavian >> Finnish, 
time, , 
source, , 
instructions, 1. Preheat the oven to 175°C.
2. Boil the rice in the water and milk until the rice is done - not all the liquid is vaporised you should end up with a watery mixture. Cool.
3. Chop the onions finely and fry until soft.
4. In the cooled down rice-milk mixture mix in the liver onions egg raisins and the spices. The mixture should still be quite runny.
5. Pour the mixture into a buttered shallow oven dish put some knobs of butter on top.
6. Bake for 1-15 h until brown.
7. This would traditionally be served with lingonberry jam but any red tart jam like cranberry should be good., 
field, value, 
id, 142206, 
name, Finnish Cucumber Salad, 
cuisine, European >> Scandinavian >> Finnish, 
time, , 
source, , 
instructions, , 
field, value, 
id, 142202, 
name, Finnish Lihakaalilaatikko - Meat and Cabbage Casserole, 
cuisine, European >> Scandinavian >> Finnish, 
time, , 
source, , 
instructions, , 
field, value, 
id, 142201, 
name, Sipulipiirakka (Finnish Onion Pie), 
cuisine, European >> Scandinavian >> Finnish, 
time, , 
source, , 
instructions, 1. In large bowl dissolve yeast in warm water.
2. Let stand 5 minutes.
3. Add saltoil or butter and flour.
4. Beat until dough is smooth and satiny.
5. Cover let rise for 1 hour (until doubled).
6. Cut onions into thin slices. Place in frying pan along with ham and cook over low heat until onions are soft (about 15 minutes).
