field, value, 
id, 117200, 
name, Eclairs, 
cuisine, European >> French >> French, 
time, , 
source, , 
instructions, 1. START WITH THE DOUGH.
2. Align the racks so the oven is divided into thirds. Preheat the oven to 375°F Line two baking sheets with parchment paper.
3. In a heavy bottomed saucepan bring the milk water butter sugar and salt to a boil.
4. Add all of the flour at once reduce heat to medium and stir vigorously with a wooden spoon. The dough will come together quickly and may form a slight crust at the bottom of the pan which is perfect. Stir for 2-3 minutes to dry out the dough. The dough should be very soft and smooth.
5. Transfer the dough to a stand mixer (or I've mixed by hand just fine) with a paddle attachment and add the eggs one by one. If the dough separates after the first egg don't worry it should come back together by the time the third egg is incorporated. When all the eggs are incorporated the dough should be thin and fall back to the bowl in a ribbon when lifted.
6. Pour the dough into a piping bag and pipe onto baking sheets.
7. Bake in oven for 7 minutes then stick the handle of a wooden spoon in the door to keep it ajar. Bake for 5 more minutes then rotate the pans top to bottom back to front. Bake for approximately 8 more minutes (with the spoon in the door) until the eclairs are golden brown and puffy. Total baking time should be about 20 minutes.
8. Meanwhile make the pastry cream.
9. FOR THE CHOCOLATE PASTRY CREAM.
10. In a small saucepan bring the milk to a boil. While the milk is coming to a boil combine the yolks sugar and cornstarch together and whisk in a heavy bottom saucepan.
11. Once the milk has reached a boil temper the eggs by putting a little milk at a time into the egg mixture while whisking. Continue whisking and slowly pour the rest of the milk in the egg mixture.
12. Strain the mixture back into the saucepan to remove any egg that may have scrambled.  Place the pan over medium heat and whisk vigorously (without stop) until the mixture returns to a boil. Keep whisking vigorously for 1 to 2 more minutes (still over medium heat).Stir in the melted chocolate and then remove the pan from the heat.
13. Scrape the pastry cream into a small bowl and set it in an ice&#8208;water bath to stop the cooking process. Make sure to continue stirring the mixture at this point so that it remains smooth.
14. Once the cream has reached a temperature of 140 F remove from the ice&#8208;water bath and stir in the butter in three or four installments. Return the cream to the ice&#8208;water bath to continue cooling stirring occasionally until it has completely cooled. The cream is now ready to use or store in the fridge.
15. FOR THE VANILLA PASTRY CREAM.
16. Bring milk vanilla beans and vanilla pod to a simmer.
17. Meanwhile combine the sugar flour and cornstarch in a bowl. Whisk until smooth and then add the yolks whisking until lump-free.
18. Remove the vanilla pod from the milk.
19. Temper the egg mixture with the milk by pouring he milk little by little into the egg mixture while stirring to prevent scrambling.
20. Once the egg mixture is tempered return to the saucepan and bring to a boil.
21. Boil for 1 minute then remove from heat and stir in the butter. The cream is now ready to use or store in the fridge.
22. FOR THE CHOCOLATE SAUCE.
23. Place all the ingredients into a heavy&#8208;bottomed saucepan and bring to a boil making sure to stir constantly.  Then reduce the heat  to low and continue stirring with a wooden spoon until the sauce thickens.
24. It may take 10&#8208;15 minutes for the sauce to thicken but you will know when it is done when it coats the back of your spoon.
25. FOR THE CHOCOLATE GLAZE.
26. In a small saucepan bring the heavy cream to a boil. Remove from the heat and slowly begin to add the chocolate stirring with a wooden spoon or spatula.
27. Stirring gently stir in the butter piece by piece followed by the chocolate sauce.
28. TO ASSEMBLE THE ECLAIRS.
29. Slice the éclairs horizontally using a serrated knife. Set aside the bottoms and place the tops on a rack over a piece of parchment paper.
30. The glaze should be barely warm to the touch (between 95 – 104 degrees F or 35 – 40 degrees C as measured on an instant read thermometer). Spread the glaze over the tops of the éclairs using a metal icing spatula. Allow the tops to set and in the meantime fill the bottoms with the pastry cream.
31. Pipe or spoon the pastry cream into the bottoms of the éclairs. Make sure you fill the bottoms with enough cream to mound above the pastry. Place the glazed tops onto the pastry cream and wriggle gently to settle them.
32. Serve immediately., 
field, value, 
id, 117205, 
name, Brandy Pots De Crème, 
cuisine, European >> French >> French, 
time, , 
source, , 
instructions, , 
field, value, 
id, 117208, 
name, French Pastry Cream, 
cuisine, European >> French >> French, 
time, , 
source, , 
instructions, 1. In a medium saucepan heat 2 cups milk to boiling.
2. While milk is heating whisk egg yolks sugar and remaining 1/4 cup milk.
3. Whisk in cornstarch and flour until smooth.
4. Temper the egg mixture by slowly whisking in about 1/3 of the heated milk then whisking in the remaining milk.
5. Return mixture to saucepan and cook over medium-high heat until mixture thickens and boils.
6. Whisk constantly.
7. Reduce heat to low and cook for another 2 minutes.
8. Remove from heat and stir in vanilla or other flavorings.
9. Pour into a bowl press plastic wrap on the surface to prevent a skin from forming and cool to room temperature before chilling for at least 2 hours., 
field, value, 
id, 117203, 
name, Brie Pancake, 
cuisine, European >> French >> French, 
time, , 
source, , 
instructions, 1. Preheat the oven to 375F degrees.
2. Mix the eggs milk flour Brie and salt in a food processor or blender for approximately 10 seconds. Put the butter in a 10-inch ovenproof omelet pan and place it in the hot oven. Remove it from the oven when the pan is very hot and the butter is bubbling and just beginning to brown.
3. Quickly pour the egg mixture into the pan and return it to the oven immediately. Bake for 20 to 25 minutes. The sides of the pancake will rise above the pan and the pancake will be solid crisp and lightly browned.
4. Serve immediately garnished with minced chives and sprinkled with cayenne.
5. To make a sweet version omit the chives and cayenne. Instead serve the pancake with fresh fruit jam or a fruit puree., 
field, value, 
id, 117201, 
